episode,reward,length,inputs,time_to_goal,death,level_completed,distance_traveled,unique_tiles_visited,max_x_velocity,max_y_velocity,max_momentum,experiment
0,-48.28,656,656,,1,0,493.0323783438653,415,29.94,100.0,104.38584,a2c_baseline_speedrunner
1,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_baseline_speedrunner
2,-48.34,482,482,,1,0,403.853889465332,325,29.94,100.0,104.38584,a2c_baseline_speedrunner
3,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_baseline_speedrunner
4,-47.98,492,492,,1,0,453.53087535500526,348,29.94,100.0,104.38584,a2c_baseline_speedrunner
5,-48.48,418,418,,1,0,349.6186088323593,286,29.94,100.0,104.38584,a2c_baseline_speedrunner
6,-49.99,1,1,,1,0,0.0277099609375,1,1.6583333,0.0,1.6583333,a2c_baseline_speedrunner
7,-48.28,656,656,,1,0,493.0323783438653,415,29.94,100.0,104.38584,a2c_baseline_speedrunner
8,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_baseline_speedrunner
9,-48.52,536,536,,1,0,410.8951139450073,343,29.94,100.0,104.38584,a2c_baseline_speedrunner
10,-48.28,656,656,,1,0,493.0323783438653,415,29.94,100.0,104.38584,a2c_baseline_speedrunner
11,-47.940000000000005,550,550,,1,0,484.91244465112686,379,29.94,100.0,104.38584,a2c_baseline_speedrunner
12,-48.24,460,460,,1,0,407.7904841899872,319,29.94,100.0,104.38584,a2c_baseline_speedrunner
13,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_baseline_speedrunner
14,-48.5,454,454,,1,0,365.0725876986981,303,29.94,100.0,104.38584,a2c_baseline_speedrunner
15,-48.23,429,429,,1,0,378.6880883276463,304,29.94,100.0,104.38584,a2c_baseline_speedrunner
16,-48.28,656,656,,1,0,493.0323783438653,415,29.94,100.0,104.38584,a2c_baseline_speedrunner
17,-48.98,370,370,,1,0,263.62693160772324,237,29.94,100.0,104.38584,a2c_baseline_speedrunner
18,-47.99,423,423,,1,0,422.87615102529526,313,29.94,100.0,104.38584,a2c_baseline_speedrunner
19,-47.96,554,554,,1,0,491.87140613794327,380,29.94,100.0,104.38584,a2c_baseline_speedrunner
