episode,reward,length,inputs,time_to_goal,death,level_completed,distance_traveled,unique_tiles_visited,max_x_velocity,max_y_velocity,max_momentum,experiment
0,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
1,-48.43,395,395,,1,0,351.8155182301998,276,29.94,100.0,104.38584,a2c_speedrunner
2,-48.33,357,357,,1,0,337.837848842144,263,29.94,100.0,104.38584,a2c_speedrunner
3,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
4,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_speedrunner
5,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_speedrunner
6,-49.99,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,a2c_speedrunner
7,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
8,-49.99,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,a2c_speedrunner
9,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
10,-48.28,380,380,,1,0,353.022150605917,277,29.94,100.0,104.38584,a2c_speedrunner
11,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
12,-48.41,455,455,,1,0,371.778402030468,308,29.94,100.0,104.38584,a2c_speedrunner
13,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
14,-47.86000000000001,406,406,,1,0,420.61347699165344,311,29.94,100.0,104.38584,a2c_speedrunner
15,-49.760000000000005,376,376,,1,0,193.5202181637287,201,29.94,46.0,54.88537,a2c_speedrunner
16,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
17,-49.99,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,a2c_speedrunner
18,-48.56,526,526,,1,0,405.9126489460468,336,29.94,100.0,104.38584,a2c_speedrunner
19,-48.13,487,487,,1,0,420.00171530246735,338,29.94,100.0,104.38584,a2c_speedrunner
