episode,reward,length,inputs,time_to_goal,death,level_completed,distance_traveled,unique_tiles_visited,max_x_velocity,max_y_velocity,max_momentum,experiment
0,-99.85,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,a2c_survivor
1,-99.85,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_survivor
2,-99.85,1,1,,1,0,0.0277099609375,1,1.6583333,0.0,1.6583333,a2c_survivor
3,-12.349999999999156,667,667,,1,0,490.8065254371613,421,29.94,100.0,101.829544,a2c_survivor
4,-12.349999999999156,667,667,,1,0,490.8065254371613,421,29.94,100.0,101.829544,a2c_survivor
5,-99.85,1,1,,1,0,0.027618408203125,1,1.6583333,0.0,1.6583333,a2c_survivor
6,-99.85,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_survivor
7,-47.50000000000021,391,391,,1,0,329.9583047926426,269,29.94,100.0,104.38584,a2c_survivor
8,-12.349999999999156,667,667,,1,0,490.8065254371613,421,29.94,100.0,101.829544,a2c_survivor
9,-12.349999999999156,667,667,,1,0,490.8065254371613,421,29.94,100.0,101.829544,a2c_survivor
10,-99.85,1,1,,1,0,0.027618408203125,1,1.6583333,0.0,1.6583333,a2c_survivor
11,-25.299999999999784,559,559,,1,0,473.2570016682148,377,29.94,100.0,104.38584,a2c_survivor
12,-32.80000000000015,496,496,,1,0,460.4899570345879,353,29.94,100.0,104.38584,a2c_survivor
13,-45.90000000000026,397,397,,1,0,380.12534326314926,289,29.94,100.0,104.38584,a2c_survivor
14,-99.85,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_survivor
15,-99.85,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,a2c_survivor
16,-12.349999999999156,667,667,,1,0,490.8065254371613,421,29.94,100.0,101.829544,a2c_survivor
17,-12.349999999999156,667,667,,1,0,490.8065254371613,421,29.94,100.0,101.829544,a2c_survivor
18,-99.85,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_survivor
19,-99.85,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_survivor
