episode,reward,length,inputs,time_to_goal,death,level_completed,distance_traveled,unique_tiles_visited,max_x_velocity,max_y_velocity,max_momentum,experiment
0,-48.28,656,656,,1,0,493.0323783438653,415,29.94,100.0,104.38584,a2c_baseline_speedrunner
1,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_baseline_speedrunner
2,-48.34,482,482,,1,0,403.853889465332,325,29.94,100.0,104.38584,a2c_baseline_speedrunner
3,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_baseline_speedrunner
4,-47.98,492,492,,1,0,453.53087535500526,348,29.94,100.0,104.38584,a2c_baseline_speedrunner
5,-48.48,418,418,,1,0,349.6186088323593,286,29.94,100.0,104.38584,a2c_baseline_speedrunner
6,-49.99,1,1,,1,0,0.0277099609375,1,1.6583333,0.0,1.6583333,a2c_baseline_speedrunner
7,-48.28,656,656,,1,0,493.0323783438653,415,29.94,100.0,104.38584,a2c_baseline_speedrunner
8,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_baseline_speedrunner
9,-48.52,536,536,,1,0,410.8951139450073,343,29.94,100.0,104.38584,a2c_baseline_speedrunner
10,-48.28,656,656,,1,0,493.0323783438653,415,29.94,100.0,104.38584,a2c_baseline_speedrunner
11,-47.940000000000005,550,550,,1,0,484.91244465112686,379,29.94,100.0,104.38584,a2c_baseline_speedrunner
12,-48.24,460,460,,1,0,407.7904841899872,319,29.94,100.0,104.38584,a2c_baseline_speedrunner
13,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_baseline_speedrunner
14,-48.5,454,454,,1,0,365.0725876986981,303,29.94,100.0,104.38584,a2c_baseline_speedrunner
15,-48.23,429,429,,1,0,378.6880883276463,304,29.94,100.0,104.38584,a2c_baseline_speedrunner
16,-48.28,656,656,,1,0,493.0323783438653,415,29.94,100.0,104.38584,a2c_baseline_speedrunner
17,-48.98,370,370,,1,0,263.62693160772324,237,29.94,100.0,104.38584,a2c_baseline_speedrunner
18,-47.99,423,423,,1,0,422.87615102529526,313,29.94,100.0,104.38584,a2c_baseline_speedrunner
19,-47.96,554,554,,1,0,491.87140613794327,380,29.94,100.0,104.38584,a2c_baseline_speedrunner
0,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
1,-48.43,395,395,,1,0,351.8155182301998,276,29.94,100.0,104.38584,a2c_speedrunner
2,-48.33,357,357,,1,0,337.837848842144,263,29.94,100.0,104.38584,a2c_speedrunner
3,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
4,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_speedrunner
5,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_speedrunner
6,-49.99,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,a2c_speedrunner
7,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
8,-49.99,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,a2c_speedrunner
9,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
10,-48.28,380,380,,1,0,353.022150605917,277,29.94,100.0,104.38584,a2c_speedrunner
11,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
12,-48.41,455,455,,1,0,371.778402030468,308,29.94,100.0,104.38584,a2c_speedrunner
13,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
14,-47.86000000000001,406,406,,1,0,420.61347699165344,311,29.94,100.0,104.38584,a2c_speedrunner
15,-49.760000000000005,376,376,,1,0,193.5202181637287,201,29.94,46.0,54.88537,a2c_speedrunner
16,-48.2,656,656,,1,0,488.2743916790933,419,29.94,100.0,102.78922,a2c_speedrunner
17,-49.99,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,a2c_speedrunner
18,-48.56,526,526,,1,0,405.9126489460468,336,29.94,100.0,104.38584,a2c_speedrunner
19,-48.13,487,487,,1,0,420.00171530246735,338,29.94,100.0,104.38584,a2c_speedrunner
0,-99.85,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,a2c_survivor
1,-99.85,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_survivor
2,-99.85,1,1,,1,0,0.0277099609375,1,1.6583333,0.0,1.6583333,a2c_survivor
3,-12.349999999999156,667,667,,1,0,490.8065254371613,421,29.94,100.0,101.829544,a2c_survivor
4,-12.349999999999156,667,667,,1,0,490.8065254371613,421,29.94,100.0,101.829544,a2c_survivor
5,-99.85,1,1,,1,0,0.027618408203125,1,1.6583333,0.0,1.6583333,a2c_survivor
6,-99.85,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_survivor
7,-47.50000000000021,391,391,,1,0,329.9583047926426,269,29.94,100.0,104.38584,a2c_survivor
8,-12.349999999999156,667,667,,1,0,490.8065254371613,421,29.94,100.0,101.829544,a2c_survivor
9,-12.349999999999156,667,667,,1,0,490.8065254371613,421,29.94,100.0,101.829544,a2c_survivor
10,-99.85,1,1,,1,0,0.027618408203125,1,1.6583333,0.0,1.6583333,a2c_survivor
11,-25.299999999999784,559,559,,1,0,473.2570016682148,377,29.94,100.0,104.38584,a2c_survivor
12,-32.80000000000015,496,496,,1,0,460.4899570345879,353,29.94,100.0,104.38584,a2c_survivor
13,-45.90000000000026,397,397,,1,0,380.12534326314926,289,29.94,100.0,104.38584,a2c_survivor
14,-99.85,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_survivor
15,-99.85,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,a2c_survivor
16,-12.349999999999156,667,667,,1,0,490.8065254371613,421,29.94,100.0,101.829544,a2c_survivor
17,-12.349999999999156,667,667,,1,0,490.8065254371613,421,29.94,100.0,101.829544,a2c_survivor
18,-99.85,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_survivor
19,-99.85,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,a2c_survivor
0,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,ppo_baseline_speedrunner
1,-48.28,662,662,,1,0,493.3297809641808,418,29.94,100.0,103.39726,ppo_baseline_speedrunner
2,-48.09,467,467,,1,0,427.4179428219795,330,29.94,100.0,104.38584,ppo_baseline_speedrunner
3,-48.11,461,461,,1,0,426.8462204933167,326,29.94,100.0,104.38584,ppo_baseline_speedrunner
4,-48.36,360,360,,1,0,327.1637824475765,263,29.94,100.0,104.38584,ppo_baseline_speedrunner
5,-47.85,587,587,,1,0,504.5891183018685,402,29.94,100.0,104.38584,ppo_baseline_speedrunner
6,-48.28,662,662,,1,0,493.3297809641808,418,29.94,100.0,103.39726,ppo_baseline_speedrunner
7,-48.32,382,382,,1,0,346.5798158943653,275,29.94,100.0,104.38584,ppo_baseline_speedrunner
8,-48.28,662,662,,1,0,485.750187067315,418,29.94,100.0,101.89052,ppo_baseline_speedrunner
