episode,reward,length,inputs,time_to_goal,death,level_completed,distance_traveled,unique_tiles_visited,max_x_velocity,max_y_velocity,max_momentum,experiment
0,-49.99,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,ppo_baseline_speedrunner
1,-48.28,662,662,,1,0,493.3297809641808,418,29.94,100.0,103.39726,ppo_baseline_speedrunner
2,-48.09,467,467,,1,0,427.4179428219795,330,29.94,100.0,104.38584,ppo_baseline_speedrunner
3,-48.11,461,461,,1,0,426.8462204933167,326,29.94,100.0,104.38584,ppo_baseline_speedrunner
4,-48.36,360,360,,1,0,327.1637824475765,263,29.94,100.0,104.38584,ppo_baseline_speedrunner
5,-47.85,587,587,,1,0,504.5891183018685,402,29.94,100.0,104.38584,ppo_baseline_speedrunner
6,-48.28,662,662,,1,0,493.3297809641808,418,29.94,100.0,103.39726,ppo_baseline_speedrunner
7,-48.32,382,382,,1,0,346.5798158943653,275,29.94,100.0,104.38584,ppo_baseline_speedrunner
8,-48.28,662,662,,1,0,485.750187067315,418,29.94,100.0,101.89052,ppo_baseline_speedrunner
9,-49.99,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,ppo_baseline_speedrunner
10,-47.97,533,533,,1,0,475.20058983564377,369,29.94,100.0,104.38584,ppo_baseline_speedrunner
11,-48.32,662,662,,1,0,483.0738014858216,416,29.94,100.0,101.45027,ppo_baseline_speedrunner
12,-48.28,662,662,,1,0,493.3297809641808,418,29.94,100.0,103.39726,ppo_baseline_speedrunner
13,-48.28,470,470,,1,0,402.84091302752495,322,29.94,100.0,104.38584,ppo_baseline_speedrunner
14,-49.99,1,1,,1,0,0.0277099609375,1,1.6583333,0.0,1.6583333,ppo_baseline_speedrunner
15,-48.05,481,481,,1,0,441.8085438609123,339,29.94,100.0,104.38584,ppo_baseline_speedrunner
16,-48.48,354,354,,1,0,334.89610493183136,254,29.94,100.0,104.38584,ppo_baseline_speedrunner
17,-48.38,532,532,,1,0,423.8002996742725,348,29.94,100.0,104.38584,ppo_baseline_speedrunner
18,-48.01,421,421,,1,0,402.0153612792492,311,29.94,100.0,104.38584,ppo_baseline_speedrunner
19,-49.99,1,1,,1,0,0.0277099609375,1,1.6583333,0.0,1.6583333,ppo_baseline_speedrunner
