episode,reward,length,inputs,time_to_goal,death,level_completed,distance_traveled,unique_tiles_visited,max_x_velocity,max_y_velocity,max_momentum,experiment
0,-49.99,1,1,,1,0,0.3333282470703125,1,0.0,20.0,20.0,ppo_speedrunner
1,-49.879999999998645,5000,5000,,0,0,832.3329238891602,6,0.0,20.0,20.0,ppo_speedrunner
2,-49.85999999999865,5000,5000,,0,0,832.3335380554199,7,0.0,20.0,20.0,ppo_speedrunner
3,-49.99,1,1,,1,0,0.3333282470703125,1,0.0,20.0,20.0,ppo_speedrunner
4,-49.879999999998645,5000,5000,,0,0,832.3329238891602,6,0.0,20.0,20.0,ppo_speedrunner
5,-49.879999999998645,5000,5000,,0,0,832.3329238891602,6,0.0,20.0,20.0,ppo_speedrunner
6,-49.879999999998645,5000,5000,,0,0,832.3329238891602,6,0.0,20.0,20.0,ppo_speedrunner
7,-49.99,1,1,,1,0,0.3333339691162109,1,0.0,20.0,20.0,ppo_speedrunner
8,-49.879999999998645,5000,5000,,0,0,832.3316955566406,6,0.0,20.0,20.0,ppo_speedrunner
9,-49.99,1,1,,1,0,0.3333320617675781,1,0.0,20.0,20.0,ppo_speedrunner
10,-49.879999999998645,5000,5000,,0,0,832.3329238891602,6,0.0,20.0,20.0,ppo_speedrunner
11,-49.879999999998645,5000,5000,,0,0,832.3341522216797,6,0.0,20.0,20.0,ppo_speedrunner
12,-45.63999999999949,5000,5000,,0,0,548.975477444008,219,29.940000534057617,24.666666,29.94,ppo_speedrunner
13,-49.99,1,1,,1,0,0.3333333730697632,1,0.0,20.0,20.0,ppo_speedrunner
14,-45.63999999999949,5000,5000,,0,0,548.975477444008,219,29.940000534057617,24.666666,29.94,ppo_speedrunner
15,-49.879999999998645,5000,5000,,0,0,832.3335380554199,6,0.0,20.0,20.0,ppo_speedrunner
16,-49.879999999998645,5000,5000,,0,0,832.3329238891602,6,0.0,20.0,20.0,ppo_speedrunner
17,-49.879999999998645,5000,5000,,0,0,832.3341522216797,6,0.0,20.0,20.0,ppo_speedrunner
18,-49.85999999999865,5000,5000,,0,0,832.3329238891602,7,0.0,20.0,20.0,ppo_speedrunner
19,-45.63999999999949,5000,5000,,0,0,548.975477444008,219,29.940000534057617,24.666666,29.94,ppo_speedrunner
