episode,reward,length,inputs,time_to_goal,death,level_completed,distance_traveled,unique_tiles_visited,max_x_velocity,max_y_velocity,max_momentum,experiment
0,-99.85,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,ppo_survivor
1,-99.85,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,ppo_survivor
2,-35.55000000000025,479,479,,1,0,416.0960495173931,332,29.94,100.0,104.38584,ppo_survivor
3,533.0500000000363,5000,5000,,0,0,2160.4656539848074,661,29.94,20.0,36.005604,ppo_survivor
4,-41.60000000000026,431,431,,1,0,392.04301756620407,307,29.94,100.0,104.38584,ppo_survivor
5,-99.85,1,1,,1,0,0.0277099609375,1,1.6583333,0.0,1.6583333,ppo_survivor
6,533.0500000000363,5000,5000,,0,0,2160.4656539848074,661,29.94,20.0,36.005604,ppo_survivor
7,-38.50000000000024,460,460,,1,0,381.6829052865505,311,29.94,100.0,104.38584,ppo_survivor
8,533.0500000000363,5000,5000,,0,0,2160.4656539848074,661,29.94,20.0,36.005604,ppo_survivor
9,-99.85,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,ppo_survivor
10,-35.650000000000205,485,485,,1,0,385.2430504858494,318,29.94,100.0,104.38584,ppo_survivor
11,-37.70000000000028,459,459,,1,0,423.37521973252296,329,29.94,100.0,104.38584,ppo_survivor
12,-24.64999999999978,560,560,,1,0,495.1595759987831,388,29.94,100.0,104.38584,ppo_survivor
13,-99.85,1,1,,1,0,0.0277099609375,1,1.6583333,0.0,1.6583333,ppo_survivor
14,-42.6000000000002,432,432,,1,0,353.3761456012726,285,29.94,100.0,104.38584,ppo_survivor
15,-38.00000000000026,460,460,,1,0,410.4083627164364,321,29.94,100.0,104.38584,ppo_survivor
16,-99.85,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,ppo_survivor
17,-32.650000000000176,492,492,,1,0,486.10590240359306,364,29.94,100.0,104.38584,ppo_survivor
18,-99.85,1,1,,1,0,0.02764892578125,1,1.6583333,0.0,1.6583333,ppo_survivor
19,-99.85,1,1,,1,0,0.027587890625,1,1.6583333,0.0,1.6583333,ppo_survivor
